caption,title
'Just Married' signs adorned the back of Laura and Rich's chairs.,Bride and Groom Chair Signs
,Candelabra Floral Centerpieces
"Tracey and Chris collected literally hundreds of votive holders, pillar holders and vases to place on the tables for a fresh, garden look.",Garden Reception Decor
White lampshades topped glass vases filled with water and strands of crystals. Pink light bulbs lit the shades creating a pink-hued glow throughout the space. The display sat on mirrored light boxes.,The Centerpieces
"The couple had miniature donkeys with satchels of beer for their guests. ""They were very adorable, and a huge hit,"" says the bride.",Whimsical Pack Donkey with Beer Satchels
"As DIY wedding favors, Tylar and Erick gave their guests jars of Tylar's grandmother's homemade spicy pickles. We also loved the presentation: the ""something pickled"" sign is too cute!",DIY Pickle Jar Wedding Favors
,Balloon Reception Exit
"Instead of traditional escort cards, calligraphed cards reserved tables for family.",Reserved Table Cards
"One Fine Day Productions created all the stunningly florals. Rebecca carried a textured bouquet, which included white peonies, orange roses, yellow ranunculus, green poppy pods, green scabiosa pods and mint dusty miller.",Colorful Peony and Wildflower Bridal Bouquet
,Breaking the Glass
Guests matched their escort cards with the whimsically named tables.,Unique Table Names
"Alexis' bouquet had winter greens, small branches, hanging amaranthus, freesia, snowberries, ranunculuses, lisianthuses, Star of Bethlehem, dusty miller, stalk and pinecones all bundled in burlap and satin.",Winter Greens and Whites Natural Bridal Bouquet
"For a monochromatic look, the bridesmaids carried all-green succulent bouquets.",Green Succulent Bouquet
Frosted cupcakes topped with silver sugar balls took the place of cake.,Blue Cucpakes
"The bride carried a bouquet of subtle, soft pink and white roses as she walked down the aisle.",Soft Pink and White Bridal Bouquet
"Guests sat in vintage wooden chairs set up in the yard for the ceremony. The chairs positioned next to the aisle and on the outside of the ceremony space had long romantic garlands accenting the backs, with colorful roses, dahlias and chrysanthemums added into the mix.",Overflowing Chair Garlands With Colorful Blooms
"Mary Kait and Chris loved the industrial, urban vibe of the Stockroom at 230 in Raleigh, North Carolina. With the help of their wedding planner, Martha Stilwell, they brought the outside in for an amazing rustic look. She suspended wooden swings from the ceiling and topped them with cascading flowers and candles.",Suspended Wooden Swing Wedding Reception Decoration
"To create a cohesive look, while still allowing her bridesmaids to show off a little of their personalities, Michelle had them choose their own dress styles from Amsale's bridesmaid line. ""I opted for a neutral color because the flowers were so bold,"" Michelle says. ""I really wanted them to pop against the bridesmaid dresses.""",Neutral Amsale Bridesmaid Gowns
,The Flower Girls
"A veil was not initially on Liz's must-have list when it came to her wedding day look, but after seeing countless bridal portraits and hearing friends rave about the timeless accessory, she decided to give one a try. ""I'll never wear a veil again and there is something so special that happens when you put on one,"" says Liz. ""It was such an unexpected surprise.""","Simple, Classic Wedding Veil"
,Manolo Blahnik Bridal Shoes
"After the ceremony, the stage area was transformed into a head table for the bride and groom and attendants with stacks of beautiful antique china, books and multiple vases of flowers.",Whimsical Tea Party Decor
,Wedding Stationery
Arrangements of pink peonies and roses mixed with heavy greenery brightened up the black linen-covered tables. The fresh blooms helped carry the garden theme into the reception tent.,The Centerpieces
"The natural wooden wedding arch by Willow and Wren was the focal point of Kayla and Jack's ceremony decor. It had a lush, asymmetrical arrangement of roses with hypericum berries, eucalyptus, amaranthus and Bells-of-Ireland, with the unity candle displayed underneath. The wooden posts tied in the surrounding oaks dripping with moss to complete the totally serene setting at Braided Oaks Farm in Quitman, Georgia.",Natural Wooden Wedding Arch With Whimsical Greenery
"""I wanted something that reflected our relationship--something easy and natural,"" Jana says. Bijou Bridal had just the look. She sported a Martina Liana fit-and-flare dress (style number 541) covered in vintage-inspired ivory Chantilly lace. Her DIY floor-length veil and white flower hair accessory gave it the feel she wanted: effortless and chic.",Martina Liana Fit-and-Flare Lace Wedding Dress
"Classic decor, dark wood, vaulted ceilings and a two-story fireplace made for a cozy reception.",Rustic Reception Decor
"Feminine sugar flower petals cascaded down the four-tiered, round fondant cake.",White Floral Cake
,Classic Couple Shot Near Vineyards
Heather's stepfather carved slits into little logs and then used them to hold the table and menu cards.,The Menu Cards and Table Numbers
Mike wore a double-breasted cream jacket to stand out from the groomsmen. He accessorized with a black tie and white ranunculus boutonniere.,White Tuxedo Groom Style
"The bridesmaid dresses embodied the cheerfulness of the soiree with their playful yellow hues and flowy silhouettes. ""I wanted their styles to be carefree and less bridesmaidy,"" Candice says. ""I wanted them to be comfortable and happy.""",Mismatched Yellow Chiffon Bridesmaid Dresses
Bevin and Chris continued their lounge furniture theme with their own bride and groom ivory and gold armchairs pulled up to the head table where they enjoyed a farm-to-table dinner with their guests.,Head Table With Ivory and Gold Lounge Chairs
,Yellow and Orange Bouquet
"Instead of a traditional white cake, the couple chose a dessert covered with chocolate ganache. A henna-inspired design in white icing and small clusters of roses gave the cake its romantic look.",Chocolate Ganache Wedding Cake
The couple's mini potted succulents doubled as a favor and an escort card.,Mini Plant Escort Cards
"Instead of a wedding cake, Karie and Mike offered guests a trio of mini desserts including Michigan State University cake pops.",Michigan State Cake Pops
Katie and Brendan brought his profession into their wedding with a personal touch. Each of their 120 guests had their names listed on an airplane-shaped escort card cut from a map. The couple also entered their reception through a saber arch from a few of Brendan's friends in the Air Force.,Airplane-Shaped Escort Cards With Maps
Nautical rope covered the vases of the lower floral arrangements on the tables.,Nautical Rope Vases
Mismatched chairs and antique distressed doors created the shabby-chic ambiance at the ceremony.,Shabby-Chic Ceremony Decor
"When Brad's brother was 8 years old, he planted an apple seed at their Southampton, New York, home. A beautiful apple tree grew from it. Maria and Brad saw the tree as the ideal spot to display their hand-lettered mirror seating chart and display family photos for guests to enjoy--a sort of play on the idea of a family tree. ""It was a really personal and special way for our family and friends to engage with our family history and a special moment for us to watch come to life,"" Maria says.",Hand-Lettered Mirror Seating Chart
,Passed Hors d'ouevres
The bride teared up the first time she saw the stained glass and charming details of Evergreen Memorial Park Barn.,The Barn at Evergreen Memorial Park Wedding
"Their taller centerpieces were gorgeous! Each had this white manzanita branch with hanging glass orbs at the center of a pastel, spring arrangement. Pink tulips, white hydrangeas, pink delphiniums, white roses, and peach garden roses overflowed from its short cylinder vase.",Whimsical White Manzanita Branch Centerpiece
